#size,CEASER-S-precision,CEASER-S-recall,CEASER-S-f1,Chemeleon-precision,Chameleon-recall,Chameleon-F1,,,,,,,,
1,1,0.204,0.338870431893688,0,0,0,1,0,500,500,0,#DIV/0!,0,#DIV/0!
2,1,0.468,0.637602179836512,0,0,0,2,0,500,500,0,#DIV/0!,0,#DIV/0!
3,0.993006993006993,0.568,0.72264631043257,0,0,0,3,0,500,500,0,#DIV/0!,0,#DIV/0!
4,0.997167138810198,0.704,0.825322391559203,0,0,0,4,0,500,500,0,#DIV/0!,0,#DIV/0!
5,0.997311827956989,0.742,0.850917431192661,0,0,0,5,0,500,500,0,#DIV/0!,0,#DIV/0!
6,0.990610328638498,0.844,0.911447084233261,0,0,0,6,0,500,500,0,#DIV/0!,0,#DIV/0!
8,0.982532751091703,0.9,0.939457202505219,0.49800796812749,0.5,0.499001996007984,8,250,250,248,252,0.49800796812749,0.5,0.499001996007984
10,0.979166666666667,0.94,0.959183673469388,0.506944444444444,0.438,0.469957081545064,10,219,281,263,213,0.506944444444444,0.438,0.469957081545064
12,0.976237623762376,0.986,0.981094527363184,0.495327102803738,0.424,0.456896551724138,12,212,288,282,216,0.495327102803738,0.424,0.456896551724138
14,0.968253968253968,0.976,0.972111553784861,0.511627906976744,0.44,0.473118279569893,14,220,280,285,210,0.511627906976744,0.44,0.473118279569893
16,0.941176470588235,0.992,0.965920155793573,0.529411764705882,0.432,0.475770925110132,16,216,284,273,192,0.529411764705882,0.432,0.475770925110132
19,0.918819188191882,0.996,0.955854126679463,0.498855835240275,0.436,0.465314834578442,19,218,282,279,219,0.498855835240275,0.436,0.465314834578442
22,0.907103825136612,0.996,0.949475691134414,0.501118568232662,0.448,0.473072861668427,22,224,276,282,223,0.501118568232662,0.448,0.473072861668427
26,0.89126559714795,1,0.942507068803016,0.482142857142857,0.432,0.455696202531646,26,216,284,260,232,0.482142857142857,0.432,0.455696202531646
30,0.848896434634974,1,0.918273645546373,0.492753623188406,0.408,0.446389496717724,30,204,296,274,210,0.492753623188406,0.408,0.446389496717724
35,0.821018062397373,1,0.901713255184851,0.494669509594883,0.464,0.478844169246646,35,232,268,273,237,0.494669509594883,0.464,0.478844169246646
41,0.819672131147541,1,0.900900900900901,0.527472527472527,0.48,0.502617801047121,41,240,260,267,215,0.527472527472527,0.48,0.502617801047121
48,0.750750750750751,1,0.857632933104631,0.522267206477733,0.516,0.519114688128773,48,258,242,252,236,0.522267206477733,0.516,0.519114688128773
57,0.694444444444444,1,0.819672131147541,0.490706319702602,0.528,0.508670520231214,57,264,236,251,274,0.490706319702602,0.528,0.508670520231214
67,0.650195058517555,1,0.788022064617809,0.493457943925234,0.528,0.510144927536232,67,264,236,239,271,0.493457943925234,0.528,0.510144927536232
79,0.603864734299517,1,0.753012048192771,0.514680483592401,0.596,0.552363299351251,79,298,202,211,281,0.514680483592401,0.596,0.552363299351251
93,0.58411214953271,1,0.737463126843658,0.516962843295638,0.64,0.571939231456658,93,320,180,183,299,0.516962843295638,0.64,0.571939231456658
110,0.541125541125541,1,0.702247191011236,0.506172839506173,0.656,0.571428571428571,110,328,172,151,320,0.506172839506173,0.656,0.571428571428571
130,0.529100529100529,1,0.692041522491349,0.477088948787062,0.708,0.570048309178744,130,354,146,55,388,0.477088948787062,0.708,0.570048309178744
