BallThrows,AvgGLE,SpillProb,FinalProb
2000,0.000000,0.0,0.0
5000,0.030000,0.0,0.030000000000000027
10000,0.040000,0.0,0.040000000000000036
20000,0.070000,0.0036985420895904175,0.07343964414331916
30000,0.170000,0.04773437154287996,0.2096195283805904
40000,0.190000,0.16881209497451832,0.3267377969293598
50000,0.180000,0.34161733763468716,0.4601262168604434
60000,0.210000,0.5710062985066162,0.6610949758202268
80000,0.270000,0.8867359320016632,0.9173172303612142
100000,0.420000,0.9879231465995446,0.9929954250277359
110000,0.450000,0.9969523690354702,0.9983238029695086
